case_id,score
8400,0.026385569746996428
38272,0.014718491446635848
33317,0.05444639512831933
34061,0.014990694004512589
55842,0.012692821204893914
16358,0.017014632513726743
2885,0.029077816857935073
7722,0.03133320594281791
27422,0.019662877355360635
18496,0.019072142982071594
39654,0.022509579048788052
49971,0.0895944864456879
30224,0.049356621720459855
29498,0.10262717489253217
19824,0.02717784385333853
25657,0.026385569746996428
35411,0.04473201448662887
42898,0.019454958399753874
37801,0.043648002908898545
29452,0.04702506971413739
28104,0.015496846136181948
37866,0.01006701482118141
35815,0.011364826486670199
37149,0.00985094968318559
40259,0.01756484710983706
6793,0.026385569746996428
1583,0.022726785003141462
49983,0.05378078582423385
39168,0.029093555207402463
34983,0.03618095687002243
20489,0.02753206604176121
34240,0.042679459990995164
2982,0.029747104029681365
27805,0.02328708043636843
21439,0.027951944848650878
38421,0.049657494808119124
37540,0.01063719914499658
50759,0.01892451917711896
42097,0.07469761348932022
17856,0.007921616354761296
48494,0.06626118807864187
11400,0.03986958618560055
11710,0.03156209341615827
25145,0.020362383638771114
29712,0.04305008493844122
16841,0.005800733467271903
12847,0.026385569746996428
36857,0.03559958686096037
13359,0.021625249798655436
35624,0.013022648191029119
5748,0.0051756213938435195
1792,0.02918476909046202
3780,0.026385569746996428
20839,0.024790577574446467
18372,0.0042774287661544045
43638,0.013324318537988981
56102,0.02650680279997957
20635,0.028761821598901064
35638,0.03587575589153119
17180,0.03409097004086666
40596,0.04182797265120655
36987,0.07569980010383173
41937,0.016114672043109825
6742,0.02987140101458218
50367,0.04279580781339954
24847,0.06932334042293113
24906,0.03736597547728103
38214,0.014802080790502607
14757,0.02497925435382105
57105,0.014438450102780272
48986,0.0554530268161615
19415,0.009189958770581094
53831,0.01298600007043309
41425,0.03631827515350074
35110,0.0574743070345879
29868,0.00887792193099487
53135,0.050746842559873905
49740,0.020033721660062034
40173,0.027357353139413995
14533,0.017210071240283304
40384,0.01182657764520559
38072,0.02414841265472409
21464,0.024313121840492204
6423,0.019662877355360635
47089,0.1274330326308763
37342,0.042877581258676516
11667,0.034989625707923966
21055,0.04323420928281472
38752,0.0396513594915734
51659,0.02885082632461019
40184,0.042679459990995164
35991,0.02312612999442915
52914,0.02328708043636843
1584,0.012694115057829808
37000,0.017358378696791223
44640,0.25532915147402685
56513,0.06875707696134861
28206,0.025451935402017924
3789,0.047164348390650083
